Timestamp,Power
2022-12-10 04:55:07.098726836,91383
2022-12-10 04:55:07.201397016,70985
2022-12-10 04:55:07.303933476,62954
2022-12-10 04:55:07.407191129,60066
2022-12-10 04:55:07.510013468,72888
2022-12-10 04:55:07.611871736,85319
2022-12-10 04:55:07.713816295,90355
2022-12-10 04:55:07.815784791,92763
2022-12-10 04:55:07.917621148,98529
2022-12-10 04:55:08.020135067,104493
2022-12-10 04:55:08.122056553,114335
2022-12-10 04:55:08.223946047,121935
2022-12-10 04:55:08.326729133,128167
2022-12-10 04:55:08.429693643,131768
2022-12-10 04:55:08.531638193,128322
2022-12-10 04:55:08.633518224,134086
2022-12-10 04:55:08.736415881,126229
2022-12-10 04:55:08.839322131,134736
2022-12-10 04:55:08.942214154,131457
2022-12-10 04:55:09.045190300,133475
2022-12-10 04:55:09.148090900,133689
2022-12-10 04:55:09.251111526,134524
2022-12-10 04:55:09.353071443,133558
2022-12-10 04:55:09.454937013,130677
2022-12-10 04:55:09.557487401,133512
2022-12-10 04:55:09.659349748,127747
2022-12-10 04:55:09.761282583,133645
2022-12-10 04:55:09.863147338,126423
2022-12-10 04:55:09.965049006,133578
2022-12-10 04:55:10.066881779,132981
2022-12-10 04:55:10.168965967,132931
2022-12-10 04:55:10.276280481,132931
2022-12-10 04:55:10.378192515,133758
2022-12-10 04:55:10.480054273,113190
2022-12-10 04:55:10.582540971,85922
2022-12-10 04:55:10.685091205,79948
2022-12-10 04:55:10.786981027,112585
2022-12-10 04:55:10.888896573,125668
2022-12-10 04:55:10.991372664,132459
2022-12-10 04:55:11.094306928,132994
2022-12-10 04:55:11.197365453,133342
2022-12-10 04:55:11.300365254,133826
2022-12-10 04:55:11.402410295,135005
2022-12-10 04:55:11.504970629,135905
2022-12-10 04:55:11.606838449,134846
2022-12-10 04:55:11.708723276,132301
2022-12-10 04:55:11.810715036,133477
2022-12-10 04:55:11.912621680,134710
2022-12-10 04:55:12.015029793,135005
2022-12-10 04:55:12.117545754,134416
2022-12-10 04:55:12.219481324,133636
2022-12-10 04:55:12.322005558,134890
2022-12-10 04:55:12.424167488,135479
2022-12-10 04:55:12.526001105,133826
2022-12-10 04:55:12.629229053,135299
2022-12-10 04:55:12.731798966,134662
2022-12-10 04:55:12.834359830,133477
2022-12-10 04:55:12.937006908,133826
2022-12-10 04:55:13.038877432,135594
2022-12-10 04:55:13.140729260,135773
2022-12-10 04:55:13.242566811,135349
2022-12-10 04:55:13.345500297,133876
2022-12-10 04:55:13.448474019,133287
2022-12-10 04:55:13.550914856,134760
2022-12-10 04:55:13.653362380,136123
2022-12-10 04:55:13.756517177,135055
2022-12-10 04:55:13.859476332,133184
2022-12-10 04:55:13.962130883,134196
2022-12-10 04:55:14.064635590,134655
2022-12-10 04:55:14.167643906,136361
2022-12-10 04:55:14.270118995,135299
2022-12-10 04:55:14.372582398,114471
2022-12-10 04:55:14.475100127,86602
2022-12-10 04:55:14.577645175,75955
2022-12-10 04:55:14.680106323,71430
2022-12-10 04:55:14.782622182,70614
2022-12-10 04:55:14.889387041,86355
2022-12-10 04:55:14.991209711,87687
2022-12-10 04:55:15.093146470,95396
2022-12-10 04:55:15.194988083,98077
2022-12-10 04:55:15.297653044,99935
2022-12-10 04:55:15.399556645,110315
2022-12-10 04:55:15.501705133,119230
2022-12-10 04:55:15.603616616,124950
2022-12-10 04:55:15.705523203,130621
2022-12-10 04:55:15.807326971,132358
2022-12-10 04:55:15.909194098,135170
2022-12-10 04:55:16.011974534,130741
2022-12-10 04:55:16.114911685,134470
2022-12-10 04:55:16.217721603,127876
2022-12-10 04:55:16.320694738,135333
2022-12-10 04:55:16.422569615,129857
2022-12-10 04:55:16.525341631,135276
2022-12-10 04:55:16.627178618,134395
2022-12-10 04:55:16.729072085,135113
2022-12-10 04:55:16.830915202,134337
2022-12-10 04:55:16.932974754,130522
2022-12-10 04:55:17.034828152,133806
2022-12-10 04:55:17.136685119,128381
2022-12-10 04:55:17.238513748,134869
2022-12-10 04:55:17.341320477,124656
2022-12-10 04:55:17.444165118,133872
2022-12-10 04:55:17.546056727,134395
2022-12-10 04:55:17.648879700,134289
2022-12-10 04:55:17.751339976,134101
2022-12-10 04:55:17.853855893,102887
2022-12-10 04:55:17.956548365,82368
2022-12-10 04:55:18.058977791,110043
2022-12-10 04:55:18.160895038,123130
2022-12-10 04:55:18.262728697,128642
2022-12-10 04:55:18.364611542,132355
2022-12-10 04:55:18.467081326,135005
2022-12-10 04:55:18.568977045,135005
2022-12-10 04:55:18.670799788,135355
2022-12-10 04:55:18.773770343,133532
2022-12-10 04:55:18.876158102,133772
2022-12-10 04:55:18.978759044,135373
2022-12-10 04:55:19.080693327,135961
2022-12-10 04:55:19.183269437,135961
2022-12-10 04:55:19.285164374,134361
2022-12-10 04:55:19.387734896,135594
2022-12-10 04:55:19.490231599,136011
2022-12-10 04:55:19.592784255,136011
2022-12-10 04:55:19.694663784,135887
2022-12-10 04:55:19.796575384,133352
2022-12-10 04:55:19.902478100,137188
2022-12-10 04:55:20.004406901,137776
2022-12-10 04:55:20.106921669,137834
2022-12-10 04:55:20.209496218,136305
2022-12-10 04:55:20.312004607,136894
2022-12-10 04:55:20.413885768,137188
2022-12-10 04:55:20.516371969,137720
2022-12-10 04:55:20.618195218,135661
2022-12-10 04:55:20.720081276,136894
2022-12-10 04:55:20.822424641,137188
2022-12-10 04:55:20.925368009,136600
2022-12-10 04:55:21.028284895,136068
2022-12-10 04:55:21.130170570,136305
2022-12-10 04:55:21.232010953,136968
2022-12-10 04:55:21.333861970,136838
2022-12-10 04:55:21.435758732,136361
2022-12-10 04:55:21.538218876,110199
2022-12-10 04:55:21.640539369,85417
2022-12-10 04:55:21.743024073,75658
2022-12-10 04:55:21.845634363,71430
2022-12-10 04:55:21.948506110,82842
2022-12-10 04:55:22.050375965,86918
2022-12-10 04:55:22.152802349,87955
2022-12-10 04:55:22.255769761,94015
2022-12-10 04:55:22.358672360,97483
2022-12-10 04:55:22.461590271,97069
2022-12-10 04:55:22.564602289,110555
2022-12-10 04:55:22.666453467,113360
2022-12-10 04:55:22.768372235,120574
2022-12-10 04:55:22.870324117,124966
2022-12-10 04:55:22.972273470,123559
2022-12-10 04:55:23.074077006,126755
2022-12-10 04:55:23.175953842,120256
2022-12-10 04:55:23.277804505,124400
2022-12-10 04:55:23.380321625,123078
2022-12-10 04:55:23.482255389,123694
2022-12-10 04:55:23.584758285,122528
2022-12-10 04:55:23.686677089,122182
2022-12-10 04:55:23.789230645,122003
2022-12-10 04:55:23.891097903,119938
2022-12-10 04:55:23.993033037,122951
2022-12-10 04:55:24.095970561,113889
2022-12-10 04:55:24.197877857,122836
2022-12-10 04:55:24.299801205,121888
2022-12-10 04:55:24.401660081,123198
2022-12-10 04:55:24.504175716,121888
2022-12-10 04:55:24.606082562,119824
2022-12-10 04:55:24.708617070,122232
2022-12-10 04:55:24.810463908,116856
2022-12-10 04:55:24.916142599,123117
2022-12-10 04:55:25.019435256,88766
2022-12-10 04:55:25.121907557,75479
2022-12-10 04:55:25.223807292,103974
2022-12-10 04:55:25.325629697,120772
2022-12-10 04:55:25.428552368,128937
2022-12-10 04:55:25.531440550,128629
2022-12-10 04:55:25.633841564,127335
2022-12-10 04:55:25.735848959,123962
2022-12-10 04:55:25.838464873,121651
2022-12-10 04:55:25.941507732,121356
2022-12-10 04:55:26.044519608,120342
2022-12-10 04:55:26.147572524,121310
2022-12-10 04:55:26.249430579,122489
2022-12-10 04:55:26.351842553,123915
2022-12-10 04:55:26.453705353,125142
2022-12-10 04:55:26.556651141,123962
2022-12-10 04:55:26.659640109,123962
2022-12-10 04:55:26.762068859,122900
2022-12-10 04:55:26.863985118,123667
2022-12-10 04:55:26.966922118,125142
2022-12-10 04:55:27.069450274,123962
2022-12-10 04:55:27.171368263,124634
2022-12-10 04:55:27.273258706,124257
2022-12-10 04:55:27.375127246,123667
2022-12-10 04:55:27.477656247,121177
2022-12-10 04:55:27.579576288,123079
2022-12-10 04:55:27.681438946,123716
2022-12-10 04:55:27.783347238,124011
2022-12-10 04:55:27.885227121,124160
2022-12-10 04:55:27.987699166,124847
2022-12-10 04:55:28.090653402,123962
2022-12-10 04:55:28.192587084,122834
2022-12-10 04:55:28.294440722,122834
2022-12-10 04:55:28.396505479,123667
2022-12-10 04:55:28.498358655,124552
2022-12-10 04:55:28.600258338,124552
2022-12-10 04:55:28.702155263,124602
2022-12-10 04:55:28.804659001,123717
2022-12-10 04:55:28.906571129,102388
2022-12-10 04:55:29.009100229,79851
2022-12-10 04:55:29.111634660,70790
2022-12-10 04:55:29.214810995,67674
2022-12-10 04:55:29.317769516,65573
2022-12-10 04:55:29.420676626,83758
2022-12-10 04:55:29.522565109,86391
2022-12-10 04:55:29.629283158,95634
2022-12-10 04:55:29.731482570,96374
2022-12-10 04:55:29.833984795,95527
2022-12-10 04:55:29.935835333,101958
2022-12-10 04:55:30.037710973,99293
2022-12-10 04:55:30.139586206,99618
2022-12-10 04:55:30.241434437,99620
2022-12-10 04:55:30.343927914,97858
2022-12-10 04:55:30.445740161,100617
2022-12-10 04:55:30.547578324,98224
2022-12-10 04:55:30.649966318,93993
2022-12-10 04:55:30.751854756,101014
2022-12-10 04:55:30.853685300,98788
2022-12-10 04:55:30.955572919,97657
2022-12-10 04:55:31.057383918,98534
2022-12-10 04:55:31.159925103,98039
2022-12-10 04:55:31.261781678,99859
2022-12-10 04:55:31.363647302,98007
2022-12-10 04:55:31.465525886,93186
2022-12-10 04:55:31.567372966,100684
2022-12-10 04:55:31.669239833,101555
2022-12-10 04:55:31.771122537,101337
2022-12-10 04:55:31.872938474,99322
2022-12-10 04:55:31.975347194,96232
2022-12-10 04:55:32.077233441,100746
2022-12-10 04:55:32.179077094,98302
2022-12-10 04:55:32.280946537,93778
2022-12-10 04:55:32.382825204,99548
2022-12-10 04:55:32.484667792,101260
2022-12-10 04:55:32.586471078,101634
2022-12-10 04:55:32.688391592,99368
2022-12-10 04:55:32.790727191,95079
2022-12-10 04:55:32.893255012,73227
2022-12-10 04:55:32.995825274,64475
2022-12-10 04:55:33.098126927,86984
2022-12-10 04:55:33.201041591,95266
2022-12-10 04:55:33.302896540,100149
2022-12-10 04:55:33.405803448,101510
2022-12-10 04:55:33.508756992,101248
2022-12-10 04:55:33.611685550,98110
2022-12-10 04:55:33.714623804,98110
2022-12-10 04:55:33.817155238,98110
2022-12-10 04:55:33.919646093,97518
2022-12-10 04:55:34.022556364,96660
2022-12-10 04:55:34.125538182,97221
2022-12-10 04:55:34.228585277,98998
2022-12-10 04:55:34.331604202,99590
2022-12-10 04:55:34.434520771,100655
2022-12-10 04:55:34.542349386,98110
2022-12-10 04:55:34.645142418,97221
2022-12-10 04:55:34.747519274,98998
2022-12-10 04:55:34.850414073,100064
2022-12-10 04:55:34.953337967,99590
2022-12-10 04:55:35.056290489,98998
2022-12-10 04:55:35.159226187,98110
2022-12-10 04:55:35.261151707,98405
2022-12-10 04:55:35.363607380,100181
2022-12-10 04:55:35.465476292,100952
2022-12-10 04:55:35.567307511,98701
2022-12-10 04:55:35.671339786,97221
2022-12-10 04:55:35.773223345,97221
2022-12-10 04:55:35.876121727,98998
2022-12-10 04:55:35.979061296,100655
2022-12-10 04:55:36.082089255,100359
2022-12-10 04:55:36.184614412,98110
2022-12-10 04:55:36.287205063,96660
2022-12-10 04:55:36.390256252,96479
2022-12-10 04:55:36.492179826,99590
2022-12-10 04:55:36.594009335,100655
2022-12-10 04:55:36.696994325,99854
2022-12-10 04:55:36.799997189,99885
2022-12-10 04:55:36.902413879,99885
2022-12-10 04:55:37.004819001,99294
2022-12-10 04:55:37.107763372,100478
2022-12-10 04:55:37.210730689,98701
2022-12-10 04:55:37.313094963,93933
2022-12-10 04:55:37.415698691,71922
2022-12-10 04:55:37.518192205,64078
2022-12-10 04:55:37.620749087,60066
2022-12-10 04:55:37.723307090,69494
2022-12-10 04:55:37.825285699,82956
2022-12-10 04:55:37.927101651,85640
2022-12-10 04:55:38.029002280,87860
2022-12-10 04:55:38.130862743,96383
2022-12-10 04:55:38.232759082,99483
2022-12-10 04:55:38.335674830,107650
2022-12-10 04:55:38.437599434,111292
2022-12-10 04:55:38.539419262,116720
2022-12-10 04:55:38.641255889,129060
2022-12-10 04:55:38.743123736,124147
